CNT,i1,i2,i3,i4,i5,i6
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,4,4,4,4,4,4
AUS,1,2,NA,3,4,4
AUS,4,3,NA,1,3,3
AUS,4,3,3,NA,3,1
AUS,4,3,NA,1,3,3
AUS,3,4,3,NA,1,3
AUS,1,3,4,NA,3,3
AUS,4,3,2,2,3,NA
AUS,4,3,2,NA,2,3
